citation_id,document_type,source,source_path,source_url,page,section,ticker,sha256
PDF-04cf8c3b3e,literature,EY.pdf,bronze/literature/EY.pdf,,7,page_7_chunk_0,,16b6b3b564b57b4ce0962eaa4390d266a2ccd3607efdabdd1f35b3f293d38f8e
PDF-47eab2d792,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,1,page_1_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-9dd634da33,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,1,page_1_chunk_1,,ea5905a2e388cf6eccf3c86b7aafa709ba47199adb2064d5b804bc32d8430cdf
PDF-0e5425b93b,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,2,page_2_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-b36202f991,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,2,page_2_chunk_1,,a292e98021f26911f22b9316e853580e47ca70fcb91226a3e97f68a687c42987
PDF-9dc58101a0,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,3,page_3_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-c9dd06432c,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,3,page_3_chunk_1,,e5a8bdb3e760b7c8513a8b6999b7d3e48629fe20a494ce05587bb126ec428c3f
PDF-2117c2abe8,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,4,page_4_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-467be36024,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,4,page_4_chunk_1,,9f2bb0f70f0b3e2de898c7854acef09231de7078e8e3ddc45f7e9c6633faf805
PDF-f89c7dd1d2,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,5,page_5_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-f7834476c3,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,5,page_5_chunk_1,,d19576c8aef74dbd66d67df747f691f17330b85268b1e4d530a7665aa34c5e07
PDF-b7cc7642d9,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,6,page_6_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-b3c3c65041,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,6,page_6_chunk_1,,8591dc5e55f7e443b2b1f3dfe24d807e7d476e137d4ea38144da7eb692d9737e
PDF-f7b44af7fc,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,7,page_7_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-74ac1f8b0e,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,7,page_7_chunk_1,,e494fd9703884e05728a35b42368524783e9d840357eb43aaf4448d4d0f3a7f3
PDF-b639f30eb1,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,8,page_8_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-d4b433b69c,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,8,page_8_chunk_1,,8dc7416a14a588cb160267a7405bad928c3906205e1e87b266989eb1c6985396
PDF-0548a756b7,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,9,page_9_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-aaa9105039,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,9,page_9_chunk_1,,cef11bdb29a0dd5cca6cba1de483990a385ec010519b4bd8ef8ff0257ad605cf
PDF-eea21be574,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,10,page_10_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-a8d64b7764,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,10,page_10_chunk_1,,67f542ec55b463cf33202c314093b75ccdf34c6ddacea957467f83b7dc42970d
PDF-596d1f4b30,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,11,page_11_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-b069b1f877,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,11,page_11_chunk_1,,0471e1b4290861207337efc6aed1478df453876bf699542a0ed943c701ae07dc
PDF-6b5a259d35,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,12,page_12_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-187f0aa3a4,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,12,page_12_chunk_1,,df923c705f0082bc0aa3eb2ea9fbc7a31212887174aa39823013b350cdea275d
PDF-2ac11f004c,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,13,page_13_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-fadad1bb21,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,13,page_13_chunk_1,,08ed5a75b28fd31733894b3184a6540e28aecccde35869bc8c192cc03af50021
PDF-495399da1d,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,14,page_14_chunk_0,,d237cf47acc3264d93e56a157e2e7d1e8c8511c276c9db1b170c06da07224745
PDF-40c48619f0,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,15,page_15_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-d36c8a6533,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,15,page_15_chunk_1,,64e1d0f754bbfd2781fb1fc55ce364d8010377a32b2830e0b6c541d43a3f4673
PDF-7aad4e989f,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,16,page_16_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-5977fa2084,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,16,page_16_chunk_1,,a1ac654a51b4116c0afa23efaa2c2e3b75450090500a80645c6af34247e4d2ad
PDF-29369d4f64,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,17,page_17_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-3935717486,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,17,page_17_chunk_1,,d98b246766221601140c1f7ba580b6449ee3aa6d7ba69065f390759790ba97dd
PDF-dcb1b74e74,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,18,page_18_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-9e7b943043,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,18,page_18_chunk_1,,95cf9c0f5432243f2500010083a9b20a516c96235c57851e16de219f674685b8
PDF-2bedfccfca,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,19,page_19_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-7a46438a81,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,19,page_19_chunk_1,,14055b56049eab4aedf018e2183754ad24b176db2ac1f5d928a130ee152d8717
PDF-9ba8a7a384,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,20,page_20_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-5155118633,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,20,page_20_chunk_1,,f6414a644b41ee02edd23f864ab3eda6cef7d2aef5e1d65c54014ea7064615c3
PDF-dce932cb16,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,21,page_21_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-5b7b00a46f,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,21,page_21_chunk_1,,564b3b60981589367793bdc91b9dcc3d2433d066651d2a107eb6eefa41ac8423
PDF-4f6c55c7e0,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,22,page_22_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-f98757813c,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,22,page_22_chunk_1,,a3f1e7d2b975f1e7221c88a64ac055b7e8ca845d3df97b179e27f53c016f21ec
PDF-5d90ea285c,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,23,page_23_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-14d03a5b91,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,23,page_23_chunk_1,,549b1c89cf19a098b6eeec3ee93a4619e9d5890faed127fd6da9897f3fc22e54
PDF-83bbfb4f80,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,24,page_24_chunk_0,,ecedfd5a9853402c9bf0189ea07210e510d5fcbfad2b7a9968b1480315909f50
PDF-13ff4fc164,literature,KPMG.pdf,bronze/literature/KPMG.pdf,,24,page_24_chunk_1,,8158020fcbce842317976edd2fe5a597599a6803eb4bfce52ec0b484d151c116
PDF-541530e27e,literature,PwC.pdf,bronze/literature/PwC.pdf,,2,page_2_chunk_0,,e03e0d03296d50871e8aac731dac670e4854727bb8f46f6e9c0ecd8436c05056
PDF-fed4aaf0db,literature,PwC.pdf,bronze/literature/PwC.pdf,,3,page_3_chunk_0,,bb39f133cfaf54a395efb9ae6b09371f554c1fba430d4d1f412cd766ec8c25d5
PDF-62fdfbf4e9,literature,PwC.pdf,bronze/literature/PwC.pdf,,5,page_5_chunk_0,,c0ef6f6deadc84a674aa7c58b02c45deef6da108ac0cad91f08a3938deab83c5
PDF-76d85cb2ef,literature,PwC.pdf,bronze/literature/PwC.pdf,,6,page_6_chunk_0,,81d2664ca867d25f86406efa27b39f70e2a8497ae174053f650c9666f2e6bf8c
PDF-af3994dda1,literature,PwC.pdf,bronze/literature/PwC.pdf,,7,page_7_chunk_0,,f155e4bc379beadb785d42c265d2356d797fef9004a7183d92fad2e508d2bca5
PDF-f11a700453,literature,PwC.pdf,bronze/literature/PwC.pdf,,9,page_9_chunk_0,,ec760faec1728015fddf0a42ec6ad91fd6b1b459c453098c2b1c624f7206900e
PDF-3334770f88,literature,PwC.pdf,bronze/literature/PwC.pdf,,10,page_10_chunk_0,,4222a6f7472444365aef4f4642c04b81857891c4ea518423bba7aeb8daea09cd
PDF-60c963cd53,literature,PwC.pdf,bronze/literature/PwC.pdf,,11,page_11_chunk_0,,3e59b056c36e0091bb23e1dd8dac3e424a99e7924f3ee0860d90721951f25fe7
PDF-3f69c0c56a,literature,PwC.pdf,bronze/literature/PwC.pdf,,12,page_12_chunk_0,,124a2e3cc45e6774249999388816bce025a2022834fc0cef2aa4ab040039dd10
PDF-be944510dd,literature,PwC.pdf,bronze/literature/PwC.pdf,,13,page_13_chunk_0,,7474350ebba83f5cf324a5742c22c5ab3372b27d9ae7f103691bc7b8755f2096
PDF-26b3754001,literature,PwC.pdf,bronze/literature/PwC.pdf,,16,page_16_chunk_0,,a8921c6800b16f472128fbbb0c21d48021aea14b1377cb05b845bc4d308651b3
PDF-29417eed31,literature,PwC.pdf,bronze/literature/PwC.pdf,,17,page_17_chunk_0,,ad1a98898f351af657bbfc171357a18cac525af28f92a3df9d2a6063d819f997
PDF-27aa001068,literature,PwC.pdf,bronze/literature/PwC.pdf,,18,page_18_chunk_0,,7aab3513b1012e0a0e544ae935b3c918c2b2d3a5dd38e629cd69ff9f870dbd74
