Ticker,Year,Index_True,Index_Syn,Causal_Gap_Pts
AAPL,2022,100.0,100.0,0.0
AAPL,2023,97.19953946968006,110.67455914336462,-13.475019673684557
AAPL,2024,99.16490840112799,126.36320329798167,-27.19829489685368
AAPL,2025,103.62566188553693,129.8891343494751,-26.263472463938186
ABNB,2022,100.0,100.0,0.0
ABNB,2023,118.07358018811765,110.90211238966545,7.171467798452198
ABNB,2024,132.18240266698416,122.93617201955493,9.246230647429229
ABNB,2025,137.87355637575902,131.7647756757113,6.108780700047731
ACN,2022,100.0,100.0,0.0
ACN,2023,104.08713110733207,121.97519068434983,-17.888059577017756
ACN,2024,105.36114337193997,155.9149445719451,-50.55380120000514
ACN,2025,113.11593985840088,155.38846517319814,-42.272525314797264
ADBE,2022,100.0,100.0,0.0
ADBE,2023,110.2408269907986,107.02655936225516,3.214267628543439
ADBE,2024,122.1458593661252,119.1932342322644,2.952625133860792
ADBE,2025,135.00511189367262,129.87098616322945,5.1341257304431736
ADI,2022,100.0,100.0,0.0
ADI,2023,102.42706126784415,100.43204239173058,1.9950188761135763
ADI,2024,78.46840253162303,117.44264481220728,-38.97424228058425
ADI,2025,91.72423930741196,148.57406119424303,-56.849821886831066
ALIT,2022,100.0,100.0,0.0
ALIT,2023,108.11055731762573,96.84741559396184,11.263141723663892
ALIT,2024,105.66379700951518,103.09836650910552,2.5654305004096614
ALIT,2025,104.71227911191663,118.80041007312781,-14.088130961211178
AMAT,2022,100.0,100.0,0.0
AMAT,2023,102.83885980221059,107.81722795402702,-4.978368151816426
AMAT,2024,105.39460926895481,119.92621370866674,-14.531604439711927
AMAT,2025,110.0174520069808,130.97280976686721,-20.95535775988641
AMD,2022,100.0,100.0,0.0
AMD,2023,96.09762298207704,105.24966042796507,-9.152037445888027
AMD,2024,109.25384517605185,137.9369341171537,-28.683088941101843
AMD,2025,125.41841447396295,204.78567697115807,-79.36726249719511
AMZN,2022,100.0,100.0,0.0
AMZN,2023,111.82957412988368,108.12190563376147,3.70766849612221
AMZN,2024,124.12064212240483,122.6542721111189,1.4663700112859317
AMZN,2025,130.36189912895952,123.30591707443044,7.055982054529082
APH,2022,100.0,100.0,0.0
APH,2023,99.45892418600967,114.32243090871236,-14.863506722702695
APH,2024,120.59494573397767,135.72943534835264,-15.13448961437497
APH,2025,149.0770815178642,135.62377233076123,13.453309187102974
ASML,2022,100.0,100.0,0.0
ASML,2023,130.15623376500704,111.88075393260152,18.275479832405523
ASML,2024,133.48304948662,124.3597312034218,9.123318283198188
ASML,2025,151.9042761200374,130.06323816542331,21.84103795461408
AVGO,2022,100.0,100.0,0.0
