,Group,count,mean,std,min,25%,50%,75%,max
TotalRevenue,Treatment (>= 750M),243.0,116703465407.40741,391805448187.42975,2207000000.0,6041618000.0,15845000000.0,44089000000.0,3809054300000.0
NetIncome,Treatment (>= 750M),243.0,32290999855.96708,156573311734.57263,-20504000000.0,851476000.0,2510000000.0,7248393500.0,1697604000000.0
Firm_Size,Treatment (>= 750M),243.0,24.27038173587587,1.5488064521655622,21.29933523310184,23.255428563764205,24.025195216949896,25.06610975774503,27.88296201460256
Leverage,Treatment (>= 750M),243.0,0.5487999302058939,0.20389929622513456,0.1129764961485285,0.40683183825004177,0.5285777363489182,0.6715308223283412,1.214719428980942
RD_Intensity,Treatment (>= 750M),243.0,0.14160580869421494,0.10273591593830958,0.0,0.07140508986379296,0.1325204119117873,0.19054085527628906,0.5290149200188873
Intangible_Ratio,Treatment (>= 750M),243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETR,Treatment (>= 750M),243.0,0.16424015352538207,0.14926447275329252,0.0,0.09329318893643215,0.1592081650964558,0.21162879658970274,1.0
TotalRevenue,Control (< 750M),265.0,442862249.0566038,304839532.70838994,6202000.0,159645000.0,430221000.0,712537000.0,1231997000.0
NetIncome,Control (< 750M),261.0,-27595448.275862068,80520857.04496673,-425677000.0,-70971000.0,-27212000.0,13953000.0,364464000.0
Firm_Size,Control (< 750M),265.0,20.052424274634994,0.9892270791082931,17.568748829570048,19.59322479877464,20.25725900983528,20.822124259739105,21.881288206252755
Leverage,Control (< 750M),265.0,0.5209695635398838,0.285900239127873,0.1129764961485285,0.2754901041178126,0.4418343906088642,0.7267431588618042,1.214719428980942
RD_Intensity,Control (< 750M),265.0,0.2855775987830145,0.5124598205684805,0.0,0.0913899441786814,0.1976045052274262,0.2843182387664839,3.4672386160082964
Intangible_Ratio,Control (< 750M),265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETR,Control (< 750M),265.0,0.0961312259429289,0.19778187736825767,0.0,0.0,0.0,0.1249335368677426,1.0
