Month,treated_abnormal_return,synthetic_abnormal_return,gap
2020-01,-0.01737109913668781,-0.029400649880682993,0.012029550743995181
2020-02,-0.017234385475068795,-0.011835708876372458,-0.005398676598696337
2020-03,-0.05417005175582814,-0.07027524525669002,0.016105193500861877
2020-04,0.0030589862805255248,0.005516650429162625,-0.0024576641486371005
2020-05,0.022023012319800916,0.026677994113207443,-0.004654981793406527
2020-06,-0.012985331183238765,-0.01426821211632522,0.0012828809330864537
2020-07,-0.014923422753887201,-0.033988749967410754,0.019065327213523553
2020-08,-0.05455529606033402,-0.06466200227812102,0.010106706217787004
2020-09,0.012944044743536724,0.015017156063689951,-0.0020731113201532276
2020-10,0.02035106164641002,0.07010678734512013,-0.04975572569871011
2020-11,0.039137213084360294,0.061103020893920196,-0.021965807809559902
2020-12,0.008356858762368267,0.08256781865838801,-0.07421095989601975
2021-01,-0.004674866734928952,-0.03937299810350724,0.034698131368578286
2021-02,0.04216538757579648,0.05153596689407922,-0.009370579318282744
2021-03,0.011197426376322319,-0.047267020370537864,0.05846444674686018
2021-04,-0.03117815982284672,-0.08205839763585604,0.05088023781300932
2021-05,0.02993993118148615,-0.014290383285688872,0.04423031446717502
2021-06,-0.02146126164006888,-0.0036574037577033567,-0.01780385788236552
2021-07,0.004958609729325509,0.01620973958792569,-0.011251129858600183
2021-08,-0.002481435747343524,-0.03061091186174983,0.028129476114406304
2021-09,0.00031818158068109306,0.025842175070950327,-0.025523993490269233
2021-10,-0.025867166712810422,-0.014311075469825213,-0.01155609124298521
2021-11,0.020642635884140406,-0.07110780259101943,0.09175043847515983
2021-12,0.033478971941790316,0.04890560567644824,-0.015426633734657927
2022-01,-0.009949776931297304,0.002589599084394643,-0.012539376015691946
2022-02,0.01005057292419247,-0.014225770080379055,0.024276343004571523
2022-03,-0.03842262497300804,-0.03952446658741054,0.0011018416144025003
2022-04,0.025416378075309557,0.024683593483385804,0.0007327845919237533
2022-05,0.0402875339252239,-0.003830334990906667,0.044117868916130565
2022-06,-0.03213722779793405,0.049148541107274096,-0.08128576890520814
2022-07,-0.013840879848491396,-0.07183571778616932,0.05799483793767792
2022-08,-0.017103506419826536,-0.002044780260564677,-0.015058726159261859
2022-09,-0.013682121489441708,0.010507202180449586,-0.024189323669891294
2022-10,0.02971487595038395,0.0013212426893090545,0.028393633261074896
2022-11,0.02613439783056772,-0.022762564471982463,0.04889696230255018
2022-12,0.026679311476057028,0.0335096463343254,-0.00683033485826837
2023-01,-0.009845241391582374,-0.00490458484676822,-0.004940656544814154
2023-02,0.0006339375200954691,-0.013165457164830597,0.013799394684926067
2023-03,-0.008991625843982835,-0.09012329441709019,0.08113166857310736
2023-04,-0.0511500023278624,-0.1176748516573287,0.06652484932946631
2023-05,0.003998530780902948,-0.0129909721310641,0.016989502911967047
2023-06,-0.008128817039112626,-0.0004803543048441123,-0.007648462734268514
2023-07,0.009972356338710485,0.012771414484394525,-0.0027990581456840396
2023-08,-0.004995206063292176,-0.01341064430965246,0.008415438246360284
2023-09,0.0012794850657803886,0.00036893439722902703,0.0009105506685513616
2023-10,-0.0013954905628555192,-0.038667350464226376,0.03727185990137086
2023-11,0.021735478108785795,0.0034663756967596784,0.018269102412026117
2023-12,0.009995365896245934,0.008637453114014221,0.0013579127822317127
2024-01,-0.0029025844647743706,-0.051384885955763654,0.04848230149098928
2024-02,-0.008722344313012019,0.0015440823424866645,-0.010266426655498683
2024-03,0.001311515412579894,0.05562001518001597,-0.054308499767436076
2024-04,-0.013865656375038816,-0.012960118123824218,-0.0009055382512145986
2024-05,-0.008511484799755865,0.024220194237159258,-0.03273167903691512
2024-06,-0.01183309462564417,-0.07315518408864563,0.06132208946300146
2024-07,0.0022163784258203184,0.049183166466124785,-0.046966788040304464
2024-08,-0.004697404850325911,-0.09465213577997769,0.08995473092965178
2024-09,-0.01402982751972736,-0.06472373711799823,0.050693909598270866
2024-10,-0.0225554784008571,-0.0727453511346542,0.0501898727337971
2024-11,-0.00872789315970817,0.030560610867309105,-0.03928850402701728
2024-12,-0.032829876899711764,0.044944759549455704,-0.07777463644916746
2025-01,0.020573657918482015,-0.05804888239496755,0.07862254031344956
2025-02,0.003500833427488453,-0.05289472592345612,0.05639555935094458
2025-03,-0.009084924363135032,-0.042382583391669726,0.033297659028534696
2025-04,-0.013119326785715901,-0.03355360274510989,0.02043427595939399
2025-05,0.0054032833178039134,-0.014305930346908594,0.019709213664712507
2025-06,0.03162133280904911,0.02682874310953591,0.004792589699513197
2025-07,-0.03441243903981063,-0.09733302998972085,0.06292059094991022
2025-08,-0.000989988577108683,0.03175028661593849,-0.032740275193047175
2025-09,0.0191534271791421,0.02107660437474844,-0.0019231771956063383
2025-10,0.004440598213130954,0.025402141475992387,-0.020961543262861433
2025-11,-0.013724521882522536,0.008741979226157942,-0.022466501108680478
2025-12,0.026324169230066266,0.06864895360175881,-0.04232478437169254
