calendar_year,estimate,std_error,ci_low,ci_high,p_value,reference_year
2020,-0.038296435847276725,0.020289244439415415,-0.0780626242220605,0.0014697525275070497,0.059089881241080215,2023
2021,-0.01054623097780803,0.018549812475902178,-0.04690319535054807,0.02581073339493201,0.569671258724908,2023
2022,-0.009886733137024765,0.021906680404687257,-0.05282303775104112,0.0330495714769916,0.6517651779022061,2023
2023,0.0,0.0,0.0,0.0,,2023
2024,-0.026226177557263572,0.022548476577212307,-0.07042037955484468,0.01796802444031754,0.24478813240229513,2023
2025,-0.000971361209005539,0.024805961710782146,-0.04959015276401813,0.047647430346007054,0.9687641182348775,2023
