ticker,post_pre_mspe_ratio
AGYS,1.292408995936058
APPF,1.270811426371916
APPN,0.8292068270616694
ASYS,1.0463497235943027
ATEN,0.7236921839461918
AUDC,1.0409446407570109
AXTI,3.8883092693273977
BAND,1.0348334807060515
BL,2.8597223979832287
DCO,0.8240798288847746
DGII,1.3988213751657042
DSS,0.6484536405127481
EGHT,1.007359183117782
FIVN,2.5211936344233483
FORM,2.195017565452168
MITK,1.732021236399863
QNST,0.8338158652363471
RAMP,0.651540804580917
RPD,1.6169542353270536
SCOR,3.5885375607656225
SMSI,5.081047533293529
SPSC,2.731875357471142
TCX,1.6747270531062044
TENB,0.4436484924153366
WK,1.6097560308848653
TREATED_PROXY,1.7597842286059369
