model_id,term,estimate,std_error,ci_low,ci_high,p_value,nobs
market_did,DiD,-0.0064258186992673105,0.00766496003968605,-0.02144886431999067,0.00859722692145605,0.4018415275004231,5022
weighted_did,DiD,0.0008338373668358512,0.01650509307737885,-0.03151555062630806,0.03318322535997976,0.9597080089409027,2788
revenue_mechanism,DiD,0.022571293180974002,0.06296735397275999,-0.10084245280742066,0.14598503916936867,0.7199989131694653,285
