calendar_year,estimate,std_error,ci_low,ci_high,p_value,reference_year
2020,-0.04318001995726026,0.009192730213170273,-0.06119744009466721,-0.025162599819853308,2.637623295564365e-06,2023
2021,0.011296995124620913,0.011846930390893693,-0.011922561768883748,0.034516552018125576,0.3402963158409792,2023
2022,-0.008202141310860136,0.011289755186016388,-0.030329654869726556,0.013925372248006284,0.467525024796384,2023
2023,0.0,0.0,0.0,0.0,,2023
2024,-0.013364602311958589,0.00991340568826078,-0.032794520425084225,0.006065315801167046,0.1776151887758124,2023
2025,-0.0168153530387613,0.011964251111575714,-0.04026485431944301,0.006634148241920407,0.15988263141790882,2023
