event_id,window,treated_n,control_n,treated_mean_car,control_mean_car,difference,std_error,ci_low,ci_high,p_value,statistically_significant_5pct,p_value_bh,p_value_holm,statistically_significant_bh_5pct,statistically_significant_holm_5pct
eu_directive,"[-1,+1]",38,34,-0.003601907046861714,0.021141487571953225,-0.02474339461881494,0.012627828124403636,-0.049493937742646064,7.148505016187079e-06,0.05720002765092748,False,0.22880011060370992,0.5720002765092748,False,False
eu_directive,"[-3,+3]",38,34,0.008969495045040042,0.018363656409083114,-0.009394161364043072,0.015190043516951319,-0.039166646657267656,0.020378323929181513,0.5398004022187044,False,0.5888731660567684,1.0,False,False
eu_directive,"[-5,+5]",38,34,0.0136253232112411,0.04077558331016373,-0.027150260098922633,0.019531232844022296,-0.06543147647320634,0.011130956275361068,0.17118629057098528,False,0.29346221240740333,1.0,False,False
globe_model_rules,"[-1,+1]",38,34,0.0034198067473579187,0.03718457473194305,-0.03376476798458514,0.00829994845545848,-0.050032666957283756,-0.017496869011886518,0.0001253768020590674,True,0.0015045216247088088,0.0015045216247088088,True,True
globe_model_rules,"[-3,+3]",38,34,0.0067530993911695284,0.023199650336148202,-0.016446550944978672,0.010715615504803992,-0.037449157334394495,0.00455605544443715,0.1294790545098258,False,0.29346221240740333,1.0,False,False
globe_model_rules,"[-5,+5]",38,34,0.008453374185326717,-0.010776116988865395,0.019229491174192113,0.013594673508577217,-0.007416068902619231,0.045875051251003454,0.16184114729569776,False,0.29346221240740333,1.0,False,False
inclusive_framework_agreement,"[-1,+1]",38,34,0.004341358212386214,0.0014948066769580326,0.002846551535428181,0.006044415350126366,-0.009000502550819498,0.014693605621675859,0.6395981814376182,False,0.6395981814376182,1.0,False,False
inclusive_framework_agreement,"[-3,+3]",38,34,-0.0027771602586943362,0.013176551337643286,-0.015953711596337624,0.0106329516572438,-0.03679429684453547,0.004886873651860222,0.13876541898671443,False,0.29346221240740333,1.0,False,False
inclusive_framework_agreement,"[-5,+5]",38,34,-3.851786105669718e-05,-0.009576806920255794,0.009538289059199097,0.011400666404967149,-0.012807017094536513,0.031883595212934705,0.4061286988013695,False,0.48735443856164334,1.0,False,False
initial_implementation,"[-1,+1]",38,34,-0.009877275193816107,-0.03597515698751927,0.026097881793703162,0.012672999370921844,0.0012588030266963493,0.050936960560709975,0.0457618339117366,True,0.22880011060370992,0.5033801730291025,False,False
initial_implementation,"[-3,+3]",38,34,-0.014713995606888677,-0.030267847246266515,0.015553851639377838,0.01390945372007663,-0.011708677651972357,0.04281638093072803,0.2692208591284602,False,0.40383128869269036,1.0,False,False
initial_implementation,"[-5,+5]",38,34,-0.01411135595460402,-0.02986378240544992,0.0157524264508459,0.015962556134095033,-0.015534183571980362,0.04703903647367216,0.32893723886198056,False,0.4385829851493074,1.0,False,False
