excluded_donor,post_mean_gap,pre_rmspe
FORM,0.014927497273723942,0.04073262022675008
MITK,0.01190856056653593,0.037243233283700154
ATEN,0.008132441891977904,0.03618450053680413
AUDC,0.010519855675181244,0.03612493713106517
APPF,0.010041878524869057,0.035897369704525534
