variable,treated_mean,control_mean,standardized_mean_difference,treated_n,control_n
Firm_Size,24.135931094401375,20.142244661003428,3.787534606534454,36,32
Leverage,0.5799920341540978,0.527568810117595,0.19839880180057698,35,32
RD_Intensity,0.13858663512472089,0.2110864785766973,-0.5654483582560775,38,31
ETR,0.1350415122659462,0.09324202596610069,0.5576673733143505,36,9
Intangible_Ratio,0.33271124899885485,0.27989516762655015,0.23257317978247022,35,32
