specification,model,term,estimate,std_error,p_value,ci_low,ci_high,nobs,statistically_significant_5pct
baseline_qqq,baseline_qqq,DiD,-0.0064258186992673105,0.00766496003968605,0.4018415275004231,-0.02144886431999067,0.00859722692145605,5022,False
alternative_benchmark_spy,alternative_benchmark_spy,DiD,-0.006427675206092326,0.007664974314804024,0.4017064258910401,-0.021450748805532792,0.00859539839334814,5022,False
alternative_benchmark_xlk,alternative_benchmark_xlk,DiD,-0.006425279651426842,0.007664955980754857,0.4018807655371065,-0.021448317316791247,0.008597758013937565,5022,False
group_linear_trend,group_linear_trend,DiD,-0.02085167036868801,0.009217238524754668,0.02368214582593736,-0.03891712591412226,-0.0027862148232537624,5022,True
baseline_covariate_post_interactions,baseline_covariate_post_interactions,DiD,-0.0025256793276926,0.0205467693809322,0.9021677334140378,-0.042796607312970046,0.03774524865758485,2932,False
