event_id,window,model,term,estimate,std_error,p_value,ci_low,ci_high,nobs,statistically_significant_5pct,p_value_holm,statistically_significant_holm_5pct
eu_directive,"[-1,+1]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.0017096055770854856,0.028896977372179947,0.9528230044950242,-0.0549274293344561,0.058346640488627075,71,False,1.0,False
eu_directive,"[-3,+3]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.02507518455501888,0.038661793070595356,0.51661124406067,-0.05070053744108825,0.10085090655112601,71,False,1.0,False
eu_directive,"[-5,+5]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,-0.05350698053981873,0.058725966315562525,0.3622269633087899,-0.16860775947563367,0.0615937983959962,71,False,1.0,False
globe_model_rules,"[-1,+1]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,-0.053756686793186514,0.030965199726008818,0.08255755315672403,-0.11444736303025335,0.006933989443880316,71,False,0.9906906378806883,False
globe_model_rules,"[-3,+3]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,-0.018402918313792364,0.035933130607656245,0.6085506009072512,-0.08883056015657248,0.052024723528987744,71,False,1.0,False
globe_model_rules,"[-5,+5]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.013570920364553193,0.045225198931035625,0.7641204743848391,-0.07506884073393598,0.10221068146304237,71,False,1.0,False
inclusive_framework_agreement,"[-1,+1]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.005578823119193384,0.02120619598142215,0.7924926594629881,-0.035984557253492054,0.047142203491878816,71,False,1.0,False
inclusive_framework_agreement,"[-3,+3]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.01493842847622754,0.040368096003040796,0.7113412759132247,-0.06418158581418773,0.0940584427666428,71,False,1.0,False
inclusive_framework_agreement,"[-5,+5]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.04461740381285301,0.04295791504777148,0.29897658248840964,-0.039578562531710326,0.12881337015741634,71,False,1.0,False
initial_implementation,"[-1,+1]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.03775629351080883,0.03154183369895227,0.23129767526634581,-0.024064564545489414,0.09957715156710707,71,False,1.0,False
initial_implementation,"[-3,+3]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.01702413294788869,0.03279160045590246,0.6036481995072172,-0.04724622294110734,0.08129448883688473,71,False,1.0,False
initial_implementation,"[-5,+5]",Continuous pre-policy tax-exposure event study,pillar_two_exposure_intensity,0.03151976264403684,0.04286438978069996,0.4621344096245008,-0.05249289754542182,0.11553242283349549,71,False,1.0,False
