feature,threshold_distance_log,Firm_Size,Leverage,RD_Intensity,ETR,Intangible_Ratio,pre_policy_tax_exposure_score
threshold_distance_log,1.0,0.9484622038667374,0.2706589503421816,-0.37478682633695665,-0.09250395894016232,0.09306151776510126,-0.18296940949680052
Firm_Size,0.9484622038667374,1.0,-0.06912832144923255,-0.41005778582663677,-0.07983984512475056,0.14746291625481137,-0.10644001134041846
Leverage,0.2706589503421816,-0.06912832144923255,1.0,0.06270414421570789,-0.24999206387601838,0.0271011360154052,-0.06744649942385031
RD_Intensity,-0.37478682633695665,-0.41005778582663677,0.06270414421570789,1.0,0.4658333862244472,-0.06424720331148943,0.5384337957394447
ETR,-0.09250395894016232,-0.07983984512475056,-0.24999206387601838,0.4658333862244472,1.0,-0.04833340003917249,-0.29170690109230074
Intangible_Ratio,0.09306151776510126,0.14746291625481137,0.0271011360154052,-0.06424720331148943,-0.04833340003917249,1.0,0.5822190061218437
pre_policy_tax_exposure_score,-0.18296940949680052,-0.10644001134041846,-0.06744649942385031,0.5384337957394447,-0.29170690109230074,0.5822190061218437,1.0
