Ticker,eligible_for_main_design,pillar_two_four_year_scope_proxy,threshold_distance_log,Firm_Size,Leverage,RD_Intensity,ETR,Intangible_Ratio,pre_policy_tax_exposure_score
AAPL,True,1,6.130028438773569,26.589039601923314,0.8563535598361469,0.0665714836379866,0.162044616844244,,0.1764139312683001
ABNB,True,1,2.177756294140821,23.498226743331248,0.6533233570270607,0.1788308131920466,0.0482654600301659,0.0426487093153759,0.4889813530590229
ACN,True,1,4.23079162979896,24.57900183698325,0.5187165372606578,,0.2400138014022581,0.3187266296387119,0.4578373015873015
ADBE,True,1,3.0194396855464354,24.025195216949896,0.4827535431621572,0.1696580711121208,0.2083888149134487,0.524056690594515,0.5260408640263009
ADI,True,1,2.4729273997807826,24.64131763264268,0.2750771484831225,0.1415452515920446,0.1130094757594113,0.7987408142959523,0.6829024759850002
AGYS,True,0,-1.6177336941422478,19.18224329594487,0.3798946591832351,0.2848815760348262,0.0050683458762094,0.2471820397642906,0.7225240149997432
ALIT,False,0,1.073918787188454,23.142299742583702,0.5470404984423676,,,0.6720961281708945,
ALRM,False,0,0.0559402366077035,21.007974743918776,0.5314738128819935,0.2594892464503969,0.0169985687275811,0.1734958157028679,0.6588650023116043
AMAT,True,1,3.3998667189453067,24.00890271130528,0.5437401781037192,0.10746558076401,0.1413343861034346,0.1511262441068622,0.3598172548415266
AMD,True,1,3.1776337421232417,24.936577918232555,0.18984906777153,0.2120672852845218,0.0,0.7146345072506659,0.8433631273437099
AMPL,True,0,-1.3919053801526526,19.84078456917468,0.2870926031105364,0.3385139477542036,,0.0147309398073739,0.4580443828016643
AMZN,False,1,6.402580989634917,26.860290700710223,0.6843507861890096,,,0.0570270708380612,
APH,True,1,2.66521321488608,23.45282961912891,0.5371259672978299,,0.2231498743616762,0.4684918636061124,0.5381944444444444
API,True,0,-1.6854864740063595,20.501015636475483,0.0904878764604135,0.7126532644550942,,0.2533972761844101,0.7622226074895978
APPF,True,0,-0.6736677950432448,19.75887932476254,0.303425607987052,0.2354778620971724,,0.2523706970045932,0.5930998613037448
APPN,True,0,-0.6664792843550384,20.202750081805764,0.7548021419892497,0.2974629853992919,,0.053179494256278,0.4780253120665741
ASAN,False,0,-0.3986185195769602,,,,,,
ASML,False,0,3.4808687383421635,24.31509459744025,0.7572809115051073,0.1536597806681968,0.1502300150245504,0.148703595552666,0.3375006421122926
ASYS,True,0,-2.141698521735014,18.70986668502665,0.2633486602662992,0.0601140190784398,0.0754857599148256,0.0893105875657136,0.3770098114758308
ATEN,True,0,-1.1785159526753315,19.726591714372848,0.5095921214830468,0.2083128223787,0.1101752788527202,0.0035409978190487,0.4497258180510606
AUDC,True,0,-1.1954784063161594,19.59573233273516,0.4140153351593887,0.2175337067827971,0.1672468771026533,0.1208222807575556,0.3905808547798839
